tv_show,season_num,season_url,episode_num,episode_url,episode_title,air_date
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,11,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Magnificent_Archibalds,The Magnificent Archibalds,2008-11-17
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,12,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/It%27s_a_Wonderful_Lie,It's a Wonderful Lie,2008-12-01
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,13,"https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/O_Brother,_Where_Bart_Thou%3F","O Brother, Where Bart Thou?",2008-12-08
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,14,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/In_the_Realm_of_the_Basses,In the Realm of the Basses,2009-01-05
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,15,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Gone_with_the_Will,Gone with the Will,2009-01-12
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,16,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/You%27ve_Got_Yale!,You've Got Yale!,2009-01-19
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,17,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Carrnal_Knowledge,Carrnal Knowledge,2009-02-02
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,18,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Age_of_Dissonance,The Age of Dissonance,2009-03-16
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,19,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Grandfather,The Grandfather,2009-03-23
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,20,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Remains_of_the_J,Remains of the J,2009-03-30
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,21,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Seder_Anything,Seder Anything,2009-04-20
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,22,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Southern_Gentlemen_Prefer_Blondes,Southern Gentlemen Prefer Blondes,2009-04-27
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,23,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Wrath_of_Con,The Wrath of Con,2009-05-04
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,24,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Valley_Girls,Valley Girls,2009-05-11
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,25,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Goodbye_Gossip_Girl,The Goodbye Gossip Girl,2009-05-18
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,1,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Reversals_of_Fortune,Reversals of Fortune,2009-09-14
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,2,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Freshmen,The Freshmen,2009-09-21
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,3,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Lost_Boy,The Lost Boy,2009-09-28
